period,weighted_avg_price,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,lag_1,lag_2,lag_3,lag_4,month,year,target_1,target_2
2014-12,2.6,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6,2.6210144927536234
2014-12,2.6,11.4401,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6210144927536234,2.6420289855072463
2014-12,2.6210144927536234,0.0,14.0801,14.0801,2600.0,2.0,2.6,2.6,2.6,2.6,12,2014,2.6420289855072463,2.6630434782608696
2014-12,2.6420289855072463,0.0,14.0801,14.0801,2600.0,2.0,2.6210144927536234,2.6,2.6,2.6,12,2014,2.6630434782608696,2.684057971014493
2014-12,2.6630434782608696,0.0,14.0801,14.0801,2600.0,2.0,2.6420289855072463,2.6210144927536234,2.6,2.6,12,2014,2.684057971014493,2.705072463768116
2014-12,2.684057971014493,0.0,14.0801,14.0801,2600.0,2.0,2.6630434782608696,2.6420289855072463,2.6210144927536234,2.6,12,2014,2.705072463768116,2.726086956521739
2014-12,2.705072463768116,0.0,14.0801,14.0801,2600.0,2.0,2.684057971014493,2.6630434782608696,2.6420289855072463,2.6210144927536234,12,2014,2.726086956521739,2.7471014492753625
2014-12,2.726086956521739,0.0,14.0801,14.0801,2600.0,2.0,2.705072463768116,2.684057971014493,2.6630434782608696,2.6420289855072463,12,2014,2.7471014492753625,2.7681159420289854
2014-12,2.7471014492753625,0.0,14.0801,14.0801,2600.0,2.0,2.726086956521739,2.705072463768116,2.684057971014493,2.6630434782608696,12,2014,2.7681159420289854,2.7891304347826087
2014-12,2.7681159420289854,0.0,14.0801,14.0801,2600.0,2.0,2.7471014492753625,2.726086956521739,2.705072463768116,2.684057971014493,12,2014,2.7891304347826087,2.810144927536232
2014-12,2.7891304347826087,0.0,14.0801,14.0801,2600.0,2.0,2.7681159420289854,2.7471014492753625,2.726086956521739,2.705072463768116,12,2014,2.810144927536232,2.831159420289855
2014-12,2.810144927536232,0.0,14.0801,14.0801,2600.0,2.0,2.7891304347826087,2.7681159420289854,2.7471014492753625,2.726086956521739,12,2014,2.831159420289855,2.8521739130434782
2014-12,2.831159420289855,0.0,14.0801,14.0801,2600.0,2.0,2.810144927536232,2.7891304347826087,2.7681159420289854,2.7471014492753625,12,2014,2.8521739130434782,2.8731884057971016
2014-12,2.8521739130434782,0.0,14.0801,14.0801,2600.0,2.0,2.831159420289855,2.810144927536232,2.7891304347826087,2.7681159420289854,12,2014,2.8731884057971016,2.8942028985507244
2014-12,2.8731884057971016,0.0,14.0801,14.0801,2600.0,2.0,2.8521739130434782,2.831159420289855,2.810144927536232,2.7891304347826087,12,2014,2.8942028985507244,2.9152173913043478
2014-12,2.8942028985507244,0.0,14.0801,14.0801,2600.0,2.0,2.8731884057971016,2.8521739130434782,2.831159420289855,2.810144927536232,12,2014,2.9152173913043478,2.936231884057971
2014-12,2.9152173913043478,0.0,14.0801,14.0801,2600.0,2.0,2.8942028985507244,2.8731884057971016,2.8521739130434782,2.831159420289855,12,2014,2.936231884057971,2.957246376811594
2014-12,2.936231884057971,0.0,14.0801,14.0801,2600.0,2.0,2.9152173913043478,2.8942028985507244,2.8731884057971016,2.8521739130434782,12,2014,2.957246376811594,2.9782608695652173
2014-12,2.957246376811594,0.0,14.0801,14.0801,2600.0,2.0,2.936231884057971,2.9152173913043478,2.8942028985507244,2.8731884057971016,12,2014,2.9782608695652173,2.9992753623188406
2014-12,2.9782608695652173,0.0,14.0801,14.0801,2600.0,2.0,2.957246376811594,2.936231884057971,2.9152173913043478,2.8942028985507244,12,2014,2.9992753623188406,3.020289855072464
2014-12,2.9992753623188406,0.0,14.0801,14.0801,2600.0,2.0,2.9782608695652173,2.957246376811594,2.936231884057971,2.9152173913043478,12,2014,3.020289855072464,3.041304347826087
2014-12,3.020289855072464,0.0,14.0801,14.0801,2600.0,2.0,2.9992753623188406,2.9782608695652173,2.957246376811594,2.936231884057971,12,2014,3.041304347826087,3.06231884057971
2014-12,3.041304347826087,0.0,14.0801,14.0801,2600.0,2.0,3.020289855072464,2.9992753623188406,2.9782608695652173,2.957246376811594,12,2014,3.06231884057971,3.0833333333333335
2014-12,3.06231884057971,0.0,14.0801,14.0801,2600.0,2.0,3.041304347826087,3.020289855072464,2.9992753623188406,2.9782608695652173,12,2014,3.0833333333333335,3.1043478260869564
2014-12,3.0833333333333335,0.0,14.0801,14.0801,2600.0,2.0,3.06231884057971,3.041304347826087,3.020289855072464,2.9992753623188406,12,2014,3.1043478260869564,3.1253623188405797
2014-12,3.1043478260869564,0.0,14.0801,14.0801,2600.0,2.0,3.0833333333333335,3.06231884057971,3.041304347826087,3.020289855072464,12,2014,3.1253623188405797,3.146376811594203
2014-12,3.1253623188405797,0.0,14.0801,14.0801,2600.0,2.0,3.1043478260869564,3.0833333333333335,3.06231884057971,3.041304347826087,12,2014,3.146376811594203,3.167391304347826
